Response1,Response2,Response3,Response4,Response5,Date
18,3,19,6,14,2023-11-29
9,8,10,13,18,2023-11-29
12,6,13,14,3,2023-11-29
6,11,15,17,19,2023-11-29
12,14,4,11,20,2023-11-29
15,6,2,5,19,2023-11-29
17,3,5,15,13,2023-11-29
4,16,20,10,13,2023-11-29
15,17,10,4,9,2023-11-29
2,19,1,17,20,2023-11-29
5,6,15,17,14,2023-11-29
10,12,10,17,1,2023-11-29
12,14,4,4,19,2023-11-29
8,14,4,9,17,2023-11-29
15,17,10,16,8,2023-11-29
6,12,3,11,19,2023-11-29
16,11,3,3,5,2023-11-29
1,6,3,19,12,2023-11-29
9,11,9,16,18,2023-11-29
19,18,11,18,13,2023-11-29
14,5,12,6,11,2023-11-29
11,18,18,17,12,2023-11-29
1,16,11,16,5,2023-11-29
1,12,6,18,13,2023-11-29
20,9,20,13,15,2023-11-29
15,11,14,9,17,2023-11-29
3,8,10,11,6,2023-11-29
19,12,19,10,16,2023-11-29
17,2,17,6,11,2023-11-29
3,5,3,2,9,2023-11-29
5,14,6,3,5,2023-11-29
1,4,13,19,5,2023-11-29
5,1,7,3,9,2023-11-29
10,13,18,14,4,2023-11-29
3,16,4,1,19,2023-11-29
16,13,3,17,2,2023-11-29
20,10,16,9,3,2023-11-29
1,19,2,18,12,2023-11-29
12,5,7,6,8,2023-11-29
18,13,16,3,17,2023-11-29
16,10,12,15,19,2023-11-29
5,9,16,20,19,2023-11-29
6,16,13,17,14,2023-11-29
16,8,13,17,8,2023-11-29
14,2,5,15,12,2023-11-29
7,12,11,5,12,2023-11-29
19,6,3,3,3,2023-11-29
13,3,17,9,16,2023-11-29
18,18,9,14,14,2023-11-29
12,14,3,17,1,2023-11-29
8,14,10,6,9,2023-11-29
1,2,14,6,16,2023-11-29
20,9,2,12,15,2023-11-29
4,11,12,5,4,2023-11-29
4,14,9,15,15,2023-11-29
17,9,15,7,6,2023-11-29
9,19,7,15,20,2023-11-29
18,5,1,14,16,2023-11-29
8,7,15,15,2,2023-11-29
3,14,2,6,8,2023-11-29
8,4,10,13,6,2023-11-29
12,9,14,7,3,2023-11-29
4,6,16,2,4,2023-11-29
2,6,3,17,11,2023-11-29
9,16,6,16,16,2023-11-29
8,16,7,8,16,2023-11-29
7,9,12,6,6,2023-11-29
4,16,4,11,17,2023-11-29
19,18,1,5,19,2023-11-29
3,17,5,9,4,2023-11-29
20,18,5,13,8,2023-11-29
12,1,5,3,12,2023-11-29
11,17,6,20,8,2023-11-29
14,6,7,11,7,2023-11-29
2,2,20,4,1,2023-11-29
4,5,10,10,4,2023-11-29
6,4,7,17,18,2023-11-29
9,2,17,12,3,2023-11-29
3,13,17,2,8,2023-11-29
17,9,9,13,13,2023-11-29
14,14,15,10,1,2023-11-29
17,14,18,7,14,2023-11-29
20,7,13,6,11,2023-11-29
3,3,7,18,20,2023-11-29
5,18,5,20,20,2023-11-29
1,13,10,12,7,2023-11-29
18,16,18,10,19,2023-11-29
16,1,7,18,4,2023-11-29
6,12,15,1,3,2023-11-29
10,7,13,5,13,2023-11-29
4,8,3,11,17,2023-11-29
5,6,17,5,1,2023-11-29
16,3,15,12,14,2023-11-29
6,17,9,8,3,2023-11-29
15,13,4,5,11,2023-11-29
13,9,7,4,3,2023-11-29
9,17,3,7,16,2023-11-29
19,13,17,9,10,2023-11-29
4,11,5,5,12,2023-11-29
15,10,18,14,5,2023-11-29
12,9,8,14,11,2023-11-29
9,4,12,14,17,2023-11-29
4,2,13,11,8,2023-11-29
19,14,7,11,17,2023-11-29
10,13,7,3,17,2023-11-29
18,17,4,17,17,2023-11-29
11,20,9,7,1,2023-11-29
14,1,2,20,1,2023-11-29
15,16,2,17,1,2023-11-29
8,20,8,14,19,2023-11-29
1,13,1,9,3,2023-11-29
6,5,9,17,1,2023-11-29
2,17,2,19,3,2023-11-29
14,1,18,20,2,2023-11-29
9,16,1,13,7,2023-11-29
17,17,5,17,20,2023-11-29
20,7,1,9,2,2023-11-29
4,18,8,1,19,2023-11-29
13,5,13,7,9,2023-11-29
13,5,18,19,19,2023-11-29
14,9,8,19,13,2023-11-29
15,19,3,5,4,2023-11-29
4,19,12,13,7,2023-11-29
20,6,7,17,16,2023-11-29
17,9,17,18,7,2023-11-29
11,1,13,2,10,2023-11-29
14,4,18,9,13,2023-11-29
9,20,20,3,11,2023-11-29
14,9,7,4,19,2023-11-29
12,2,18,7,10,2023-11-29
15,20,14,16,4,2023-11-29
4,7,10,2,2,2023-11-29
8,20,11,14,1,2023-11-29
7,9,16,15,18,2023-11-29
8,7,8,20,7,2023-11-29
20,18,6,1,11,2023-11-29
19,9,2,7,11,2023-11-29
7,8,3,20,16,2023-11-29
17,11,14,8,1,2023-11-29
1,8,10,2,10,2023-11-29
14,15,16,15,17,2023-11-29
15,16,20,3,2,2023-11-29
7,18,15,13,17,2023-11-29
11,12,1,10,13,2023-11-29
4,18,3,19,18,2023-11-29
15,14,14,13,6,2023-11-29
3,4,3,17,8,2023-11-29
2,16,7,12,18,2023-11-29
20,1,11,20,7,2023-11-29
1,6,9,10,19,2023-11-29
11,8,8,5,18,2023-11-29
10,17,8,16,4,2023-11-29
15,10,6,5,15,2023-11-29
20,1,3,8,12,2023-11-29
11,13,1,18,2,2023-11-29
13,9,3,4,15,2023-11-29
18,16,13,5,16,2023-11-29
7,20,10,2,8,2023-11-29
12,15,13,11,20,2023-11-29
20,3,15,4,7,2023-11-29
14,7,18,16,20,2023-11-29
6,17,3,16,14,2023-11-29
9,6,4,19,17,2023-11-29
19,18,15,20,7,2023-11-29
2,2,17,3,3,2023-11-29
11,9,8,3,20,2023-11-29
10,18,3,16,2,2023-11-29
10,14,18,8,20,2023-11-29
17,20,12,7,7,2023-11-29
8,12,15,14,15,2023-11-29
19,5,10,8,6,2023-11-29
12,6,19,11,20,2023-11-29
10,14,3,4,5,2023-11-29
19,5,18,6,5,2023-11-29
4,17,2,12,2,2023-11-29
1,2,10,15,5,2023-11-29
5,16,10,19,7,2023-11-29
20,4,4,15,7,2023-11-29
15,7,20,16,6,2023-11-29
4,1,9,4,18,2023-11-29
19,13,4,13,13,2023-11-29
9,13,20,11,8,2023-11-29
10,17,18,11,7,2023-11-29
6,16,4,18,12,2023-11-29
20,2,16,20,4,2023-11-29
1,11,17,7,18,2023-11-29
18,11,15,5,18,2023-11-29
19,17,9,3,1,2023-11-29
11,20,6,2,18,2023-11-29
19,16,16,10,1,2023-11-29
17,7,16,1,19,2023-11-29
1,7,8,13,18,2023-11-29
10,13,14,9,17,2023-11-29
19,15,19,20,15,2023-11-29
12,10,18,19,15,2023-11-29
19,14,4,2,16,2023-11-29
6,14,20,17,13,2023-11-29
5,19,18,19,1,2023-11-29
9,20,14,12,13,2023-11-29
2,16,15,12,10,2023-11-29
7,7,7,15,17,2023-11-29
9,20,7,8,9,2023-11-29
17,2,18,12,15,2023-11-29
4,20,12,14,13,2023-11-29
6,10,15,4,10,2023-11-29
3,3,20,20,11,2023-11-29
13,17,15,5,3,2023-11-29
9,6,6,15,13,2023-11-29
12,10,5,18,18,2023-11-29
18,9,11,9,9,2023-11-29
1,7,1,11,7,2023-11-29
2,13,7,17,2,2023-11-29
8,13,19,13,11,2023-11-29
4,11,12,14,5,2023-11-29
1,6,17,6,10,2023-11-29
14,15,12,8,9,2023-11-29
1,7,8,12,20,2023-11-29
17,20,8,10,17,2023-11-29
13,20,20,12,1,2023-11-29
9,18,20,12,2,2023-11-29
13,12,11,20,16,2023-11-29
19,10,13,5,11,2023-11-29
3,8,14,14,11,2023-11-29
7,4,11,9,2,2023-11-29
15,14,17,19,7,2023-11-29
9,7,16,1,14,2023-11-29
1,16,1,15,17,2023-11-29
3,6,19,3,1,2023-11-29
6,2,3,14,9,2023-11-29
14,18,19,4,5,2023-11-29
4,4,9,3,6,2023-11-29
9,2,18,4,15,2023-11-29
11,16,16,10,9,2023-11-29
2,2,15,16,16,2023-11-29
8,19,18,4,16,2023-11-29
5,15,13,14,12,2023-11-29
7,18,1,16,8,2023-11-29
5,17,14,1,14,2023-11-29
19,5,20,10,9,2023-11-29
13,7,7,1,19,2023-11-29
2,17,11,7,5,2023-11-29
4,11,4,7,6,2023-11-29
2,4,12,6,13,2023-11-29
13,3,8,5,13,2023-11-29
19,20,14,18,13,2023-11-29
8,20,6,4,8,2023-11-29
18,15,5,19,3,2023-11-29
8,8,3,19,12,2023-11-29
20,4,19,7,13,2023-11-29
11,8,9,8,7,2023-11-29
5,3,3,16,19,2023-11-29
5,18,1,10,18,2023-11-29
10,9,9,16,10,2023-11-29
9,6,19,14,5,2023-11-29
17,20,3,3,12,2023-11-29
17,19,14,2,11,2023-11-29
18,5,13,5,14,2023-11-29
18,4,1,20,2,2023-11-29
1,12,5,12,19,2023-11-29
4,16,5,11,7,2023-11-29
6,18,9,16,7,2023-11-29
6,19,2,12,17,2023-11-29
8,17,16,9,16,2023-11-29
20,18,3,15,18,2023-11-29
16,3,19,19,1,2023-11-29
8,9,17,16,4,2023-11-29
11,3,4,18,10,2023-11-29
19,14,16,11,10,2023-11-29
2,7,14,15,18,2023-11-29
4,9,2,5,16,2023-11-29
17,20,6,5,20,2023-11-29
7,9,5,6,13,2023-11-29
9,2,11,16,11,2023-11-29
10,20,20,3,1,2023-11-29
12,3,14,10,2,2023-11-29
2,10,15,19,11,2023-11-29
15,16,14,14,11,2023-11-29
7,17,6,17,20,2023-11-29
4,2,18,19,18,2023-11-29
1,11,16,16,4,2023-11-29
14,20,7,1,19,2023-11-29
12,12,6,7,10,2023-11-29
17,19,17,12,10,2023-11-29
9,19,17,6,18,2023-11-29
4,5,9,20,3,2023-11-29
19,15,2,3,12,2023-11-29
7,3,15,13,13,2023-11-29
9,14,2,14,8,2023-11-29
7,4,18,16,9,2023-11-29
6,1,13,17,18,2023-11-29
1,6,17,7,13,2023-11-29
10,4,1,14,13,2023-11-29
5,10,17,2,19,2023-11-29
8,11,9,9,19,2023-11-29
6,8,4,7,5,2023-11-29
18,4,7,8,18,2023-11-29
7,10,12,20,12,2023-11-29
9,6,8,8,15,2023-11-29
4,17,1,3,14,2023-11-29
18,3,8,11,3,2023-11-29
20,20,8,17,18,2023-11-29
7,1,14,6,16,2023-11-29
9,20,3,10,2,2023-11-29
13,15,8,19,9,2023-11-29
18,15,9,3,6,2023-11-29
10,1,2,4,2,2023-11-29
10,18,16,11,2,2023-11-29
1,16,6,9,6,2023-11-29
10,2,10,16,18,2023-11-29
2,3,19,12,3,2023-11-29
20,5,1,1,3,2023-11-29
11,13,7,7,13,2023-11-29
6,2,7,17,14,2023-11-29
20,5,1,14,7,2023-11-29
13,1,5,7,20,2023-11-29
19,7,7,6,19,2023-11-29
14,8,20,3,15,2023-11-29
1,3,15,12,10,2023-11-29
17,3,3,17,7,2023-11-29
2,13,20,11,12,2023-11-29
5,4,17,16,6,2023-11-29
6,6,9,6,3,2023-11-29
12,10,10,10,18,2023-11-29
16,12,8,12,11,2023-11-29
8,6,18,15,19,2023-11-29
2,2,19,12,19,2023-11-29
17,14,2,2,2,2023-11-29
10,19,13,2,3,2023-11-29
9,13,4,12,20,2023-11-29
8,12,9,13,9,2023-11-29
20,1,8,10,14,2023-11-29
10,7,13,6,19,2023-11-29
11,19,7,15,14,2023-11-29
18,1,19,3,3,2023-11-29
4,7,17,20,2,2023-11-29
11,16,20,9,6,2023-11-29
3,5,4,4,11,2023-11-29
14,18,7,4,14,2023-11-29
15,4,3,2,15,2023-11-29
20,13,17,7,19,2023-11-29
16,9,4,15,10,2023-11-29
5,12,8,10,17,2023-11-29
3,17,12,2,17,2023-11-29
4,11,15,12,18,2023-11-29
9,10,9,9,11,2023-11-29
13,10,4,13,17,2023-11-29
19,17,15,4,20,2023-11-29
14,15,20,8,4,2023-11-29
9,8,4,17,16,2023-11-29
17,10,16,15,17,2023-11-29
13,5,5,9,16,2023-11-29
18,5,6,19,16,2023-11-29
2,4,7,20,15,2023-11-29
17,7,12,19,12,2023-11-29
20,19,7,12,19,2023-11-29
15,11,17,9,16,2023-11-29
18,2,8,11,8,2023-11-29
1,19,11,13,12,2023-11-29
13,10,19,19,7,2023-11-29
14,18,18,15,1,2023-11-29
1,2,17,19,19,2023-11-29
4,18,8,5,13,2023-11-29
20,15,9,20,14,2023-11-29
11,9,14,20,3,2023-11-29
10,13,9,19,8,2023-11-29
4,9,18,14,3,2023-11-29
15,5,8,20,4,2023-11-29
18,4,14,4,9,2023-11-29
12,16,2,14,11,2023-11-29
2,6,18,18,8,2023-11-29
7,16,10,10,14,2023-11-29
2,14,19,15,3,2023-11-29
8,13,15,18,15,2023-11-29
20,8,18,2,14,2023-11-29
19,10,20,1,16,2023-11-29
3,15,2,2,2,2023-11-29
7,4,8,13,11,2023-11-29
9,8,17,14,18,2023-11-29
19,2,13,6,18,2023-11-29
13,6,18,10,3,2023-11-29
12,3,4,11,5,2023-11-29
18,1,4,9,8,2023-11-29
20,5,20,6,7,2023-11-29
13,9,3,5,17,2023-11-29
12,13,9,17,10,2023-11-29
15,11,17,3,18,2023-11-29
1,5,20,12,10,2023-11-29
17,2,10,4,12,2023-11-29
2,6,7,6,8,2023-11-29
8,7,7,9,11,2023-11-29
14,9,16,7,17,2023-11-29
4,1,2,14,11,2023-11-29
11,8,8,16,16,2023-11-29
9,10,17,20,8,2023-11-29
6,13,2,13,16,2023-11-29
11,16,17,20,2,2023-11-29
14,9,4,3,20,2023-11-29
8,13,17,13,12,2023-11-29
1,13,6,19,20,2023-11-29
14,9,6,4,6,2023-11-29
2,4,8,6,1,2023-11-29
10,3,10,4,15,2023-11-29
15,17,14,9,15,2023-11-29
14,16,18,10,10,2023-11-29
14,18,16,20,18,2023-11-29
8,10,15,8,16,2023-11-29
1,20,4,20,5,2023-11-29
12,20,9,1,8,2023-11-29
1,8,11,9,5,2023-11-29
5,10,20,10,9,2023-11-29
6,1,19,2,16,2023-11-29
14,7,11,4,1,2023-11-29
20,2,15,7,11,2023-11-29
9,13,7,17,12,2023-11-29
18,12,8,9,1,2023-11-29
12,13,19,11,3,2023-11-29
20,4,1,14,15,2023-11-29
16,13,11,12,20,2023-11-29
7,4,18,5,4,2023-11-29
2,5,3,6,2,2023-11-29
18,19,6,6,14,2023-11-29
20,20,20,2,2,2023-11-29
5,10,2,3,19,2023-11-29
16,1,17,6,16,2023-11-29
20,14,2,1,16,2023-11-29
6,9,13,7,9,2023-11-29
1,14,2,12,18,2023-11-29
10,11,3,9,15,2023-11-29
18,20,4,8,18,2023-11-29
7,9,7,9,3,2023-11-29
18,14,17,10,18,2023-11-29
6,18,1,17,6,2023-11-29
2,9,5,2,10,2023-11-29
17,9,8,7,15,2023-11-29
3,20,10,19,6,2023-11-29
5,17,2,20,10,2023-11-29
15,15,4,12,6,2023-11-29
20,8,14,15,2,2023-11-29
19,8,1,20,1,2023-11-29
7,13,5,7,18,2023-11-29
5,14,17,5,16,2023-11-29
1,14,5,13,15,2023-11-29
4,16,1,1,16,2023-11-29
19,8,8,5,12,2023-11-29
19,15,18,11,6,2023-11-29
15,6,20,12,7,2023-11-29
18,6,7,2,18,2023-11-29
16,17,4,3,15,2023-11-29
1,3,3,18,5,2023-11-29
17,19,20,4,12,2023-11-29
1,11,14,16,14,2023-11-29
18,10,11,9,7,2023-11-29
5,11,2,7,17,2023-11-29
9,14,18,1,20,2023-11-29
17,19,12,16,8,2023-11-29
13,19,15,11,13,2023-11-29
14,14,15,18,14,2023-11-29
20,9,11,18,8,2023-11-29
7,15,3,7,16,2023-11-29
17,15,11,13,13,2023-11-29
1,19,19,16,9,2023-11-29
1,11,18,15,14,2023-11-29
2,2,3,6,12,2023-11-29
9,2,16,7,7,2023-11-29
9,1,3,19,10,2023-11-29
9,15,18,20,9,2023-11-29
17,2,5,17,4,2023-11-29
8,8,9,1,11,2023-11-29
10,12,12,11,10,2023-11-29
13,9,6,18,15,2023-11-29
16,14,5,9,10,2023-11-29
18,10,5,6,19,2023-11-29
2,19,20,15,3,2023-11-29
11,14,7,9,14,2023-11-29
14,2,13,17,3,2023-11-29
10,19,5,20,20,2023-11-29
19,9,13,13,17,2023-11-29
15,11,4,16,12,2023-11-29
13,17,9,8,9,2023-11-29
5,7,15,9,8,2023-11-29
13,4,2,15,10,2023-11-29
9,17,7,5,19,2023-11-29
1,12,15,4,16,2023-11-29
19,16,4,4,3,2023-11-29
15,5,18,16,5,2023-11-29
16,7,8,1,14,2023-11-29
20,13,17,4,14,2023-11-29
6,20,13,1,19,2023-11-29
2,8,18,11,4,2023-11-29
16,11,10,10,17,2023-11-29
13,8,13,11,17,2023-11-29
4,18,3,15,13,2023-11-29
17,18,19,6,5,2023-11-29
6,17,7,18,10,2023-11-29
18,16,20,13,11,2023-11-29
1,12,7,3,1,2023-11-29
16,19,6,8,12,2023-11-29
5,14,3,7,20,2023-11-29
9,15,13,10,16,2023-11-29
18,13,13,4,10,2023-11-29
7,3,11,4,19,2023-11-29
14,9,6,19,4,2023-11-29
5,19,14,6,9,2023-11-29
3,6,9,20,17,2023-11-29
17,8,13,17,9,2023-11-29
3,10,12,10,10,2023-11-29
8,13,15,15,13,2023-11-29
15,18,13,8,3,2023-11-29
